Volume,Densidade,Altitude,arv/ha,Id Floresta,(%) Mortas,(%) Falhas,avg_vol/ha,Região_1,Região_2,Região_3,Manejo Atual_1,Manejo Atual_2,Manejo Atual_3,Município_1,Município_2,Município_3,Município_4,Município_5,Município_6,Município_7,Município_8,Município_9,Município_10,Município_11,Município_12,Município_13,Município_14,Município_15,Município_16,Município_17,Município_18,Município_19,Município_20,Município_21,Município_22,Zona Climática_1,Zona Climática_2,Zona Climática_3,Zona Climática_4,Zona Climática_5,Zona Climática_6,Zona Climática_7,Zona Climática_8,Zona Climática_9,Zona Climática_10
0.08216107954057283,0.4041141657121041,0.4201474201474201,0.46603475513428116,0.19532428355957768,0.0,0.0,0.030496543464130034,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05512769679894047,0.4868270332187856,0.4201474201474201,0.009478672985782088,0.19607843137254902,0.0,0.0,0.028688401728318498,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08298143974807495,0.49723176785032464,0.38329238329238335,0.46603475513428116,0.19683257918552036,0.0,0.0,0.023460190039727078,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1520450771705019,0.49646811760213816,0.3808353808353808,0.46603475513428116,0.1825037707390648,0.0,0.0,0.09729818819322578,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08178049350171612,0.5921153111874762,0.4054054054054054,0.46603475513428116,0.1832579185520362,0.0015135135135135138,0.0004034427111350188,0.03876086344142397,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11130295985199148,0.5019568537609775,0.4250614250614251,0.009478672985782088,0.1825037707390648,0.0,0.0,0.04555698077968765,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09240380815154198,0.32054219167621256,0.40294840294840295,0.009478672985782088,0.1825037707390648,0.0,0.0,0.035966307987279136,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06168294128092023,0.4208667430316917,0.398034398034398,0.009478672985782088,0.18476621417797887,0.0,0.0,0.032411073884969326,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1300255018103294,0.6752577319587634,0.4078624078624079,0.46603475513428116,0.20663650075414777,0.0041081081081081085,0.0,0.05201314760902783,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11147225063181737,0.6007541046200842,0.4078624078624079,0.46603475513428116,0.1855203619909502,0.0,0.0,0.07904939052081753,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
